date,cpi_yoy,policy_rate,unemployment,wage_growth
2003-01-01,4.508196721311486,2.75,,
2003-02-01,4.6843177189409335,2.75,,
2003-03-01,4.246713852376116,3.0,,
2003-04-01,2.9145728643216184,3.25,,
2003-05-01,2.8084252758274753,3.25,,
2003-06-01,2.6026026026025884,3.25,,
2003-07-01,2.0895522388059584,3.0,,
2003-08-01,1.9821605550049526,3.0,,
2003-09-01,2.18037661050543,2.75,,
2003-10-01,1.5810276679841806,2.75,,
2003-11-01,1.5763546798029493,2.75,,
2003-12-01,2.077151335311589,2.75,,
2004-01-01,1.274509803921564,2.5,,
2004-02-01,0.6809338521400754,2.5,,
2004-03-01,0.7759456838021483,2.25,,
2004-04-01,1.6601562499999778,2.0,,
2004-05-01,2.4390243902439046,2.0,,
2004-06-01,2.536585365853661,2.0,,
2004-07-01,2.3391812865497075,2.0,,
2004-08-01,1.8464528668610258,2.0,,
2004-09-01,1.8428709990300662,2.25,,
2004-10-01,2.3346303501945664,2.5,,
2004-11-01,2.424830261881672,2.5,,
2004-12-01,2.131782945736438,2.5,,
2005-01-01,1.9361084220716362,2.5,,
2005-02-01,2.1256038647343045,2.5,,
2005-03-01,2.3099133782483072,2.5,,
2005-04-01,2.401536983669539,2.5,,
2005-05-01,1.619047619047631,2.5,,
2005-06-01,1.712654614652731,2.5,,
2005-07-01,2.0000000000000018,2.5,,
2005-08-01,2.57633587786259,2.5,,
2005-09-01,3.23809523809524,2.75,,
2005-10-01,2.5665399239543696,3.0,,
2005-11-01,1.9886363636363757,3.0,,
2005-12-01,2.0872865275142205,3.25,,
2006-01-01,2.754036087369416,3.5,,
2006-02-01,2.1759697256386046,3.5,,
2006-03-01,2.163687676387571,3.75,,
2006-04-01,2.4390243902439046,4.0,,
2006-05-01,2.8116213683224034,4.25,,
2006-06-01,2.4321796071094415,4.25,,
2006-07-01,2.334267040149385,4.25,,
2006-08-01,2.139534883720917,4.25,,
2006-09-01,0.7380073800737907,4.25,,
2006-10-01,1.019462465245602,4.25,,
2006-11-01,1.392757660167132,4.25,,
2006-12-01,1.6728624535315983,4.25,,
2007-01-01,1.109057301293892,4.25,,
2007-02-01,2.037037037037037,4.25,,
2007-03-01,2.302025782688766,4.25,,
2007-04-01,2.19780219780219,4.25,,
2007-05-01,2.1877848678213185,4.25,,
2007-06-01,2.1917808219178214,4.25,,
2007-07-01,2.1897810218978186,4.5,,
2007-08-01,1.7304189435336959,4.5,,
2007-09-01,2.472527472527486,4.5,,
2007-10-01,2.3853211009174258,4.5,,
2007-11-01,2.472527472527486,4.5,,
2007-12-01,2.376599634369292,4.25,,
2008-01-01,2.1937842778793293,4.0,,
2008-02-01,1.814882032667886,4.0,,
2008-03-01,1.3501350135013412,3.5,,
2008-04-01,1.70250896057349,3.0,,
2008-05-01,2.2301516503122176,3.0,,
2008-06-01,3.1277926720286064,3.0,,
2008-07-01,3.392857142857131,3.0,,
2008-08-01,3.4914950760966734,3.0,,
2008-09-01,3.3958891867738927,3.0,,
2008-10-01,2.5985663082437327,2.25,,
2008-11-01,1.9660411081322549,2.25,,
2008-12-01,1.1607142857142927,1.5,,
2009-01-01,1.073345259391778,1.0,,
2009-02-01,1.426024955436711,1.0,,
2009-03-01,1.243339253996445,0.5,,
2009-04-01,0.35242290748900285,0.25,,
2009-05-01,0.08726003490402423,0.25,,
2009-06-01,-0.25996533795494825,0.25,,
2009-07-01,-0.949913644214162,0.25,,
2009-08-01,-0.7785467128027634,0.25,,
2009-09-01,-0.8643042350907515,0.25,,
2009-10-01,0.08733624454146938,0.25,,
2009-11-01,0.9640666082384008,0.25,,
2009-12-01,1.3239187996469504,0.25,,
2010-01-01,1.8584070796460184,0.25,,
